Korean,English
가다,to go
가르치다,to teach
가지다,to have
갖다,to have
거짓말하다,to lie
걱정하다,to worry
걷다,to walk
걸다,to call
결혼하다,to marry
고백하다,to confess
공부하다,to study
기다리다,to wait
기억하다,to remember
꿈꾸다,to dream
끓이다,to boil
끝나다,to finish
나가다,to exit
내다,to pay
닫다,to close
대답하다,to answer
도와주다,to help
도착하다,to arrive
듣다	,to hear
들어오다,to enter
마시다,to drink
만나다,to meet
만들다,to make
말하다,To talk
먹다,To eat
모르다,To not know
묻다,To ask
물어보다,To ask
배우다,To learn
벗다,To undress
보내다,To send
보다	,To see
볶다	,To fry
빌리다,To borrow
사다,To buy
사랑에 빠지다,To fall in love
사랑하다,To love
사용하다,To use
살다,To live
생각하다,To think
서두르다,To hurry
섞다,To mix
소개하다,To introduce
쉬다,To rest
시작하다,To start
신다,to wear shoes socks footwear
싫어하다,To hate
싸우다,To fight
썰다,To chop
쓰다,To write
쓰다,To wear hat
씻다,To wash
앉다,To sit
알다,To know
약속하다,To promise
없다,To not have
연습하다,To practice
열다,To open
오다,To come
요리하다,To cook
운동하다,To exercise
운전하다,To drive
울다,To cry
웃다,To laugh
이기다,To win
이야기하다,To chat
일어나다,To get up
일하다,To work
읽다,To read
입다,To wear
있다,To have
자다,To sleep
재다,To measure
전화하다,To telephone
좋아하다,To like
죄송하다,To be sorry
주다	,To give
주문하다,To order
죽다,To die
준비하다,To prepare
지다,To lose
찌다,To steam
찍다,To take picture
찾다,To find
청소하다,To clean
축하하다,To congratulate
출발하다,To depart
춤추다,To dance
타다,To ride
태어나다,To be born
튀기다,To deep fry
팔다,To sell
필요하다,To need
하다,To do
휘젓다,To stir